0,Forbidden City,Beijing,"17,000,000+",2018[1]
1,St. Peter's Basilica,Vatican City,11000000,2018[2][3]
2,Palace of Versailles,Versailles,8100000,2018[4]
3,Lincoln Memorial,"Washington, D.C.",7804683,2018[5]
5,Parthenon,Athens,7200000,2016[7]
6,Eiffel Tower,Paris,7000000,2017[8]
7,Taj Mahal,Agra,6532366,2019 [9]
8,Cologne Cathedral,Cologne,6000000,2018[10]
9,Peterhof Palace,Saint Petersburg,5245900,2016[11]
11,Vietnam Veterans Memorial,"Washington, D.C.",4719148,2018[5]
12,World War II Memorial,"Washington, D.C.",4652865,2018[13]
13,Independence National Historical Park,Philadelphia,4576436,2018[5]
14,Sagrada Familia,Barcelona,4500000,2018 [14]
15,Statue of Liberty National Monument,New York City,4335431,2018[5]
16,Teotihuacan,Teotihuacán,4070000,2018[15]
17,Mysore Palace,Mysore,3861162,2019[16]
19,Pompeii,Naples,3646585,2018 [17]
20,Wilanow Palace,Warsaw,3115797,2019[18]
21,Schonbrunn Palace,Vienna,3050000,2017[19]
22,Kazan Kremlin,Kazan,2893300,2016[11]
23,Tower of London,London,2858336,2018[20]
24,Alhambra,Granada,2760000,2018[21]
25,Chichen Itza,Yucatán,2740000,2018[22]
26,Topkapi Palace,Istanbul,2720119,2019[23]
27,Chapultepec Castle,Mexico City,2661615,2018[24]
28,Ciudad de las Artes y las Ciencias,Valencia,2637567,2018[25]
29,Statue of Unity,Kevadiya,"2,600,000+",2019[26]
30,Moscow Kremlin,Moscow,2478622,2016[27]
32,Tulum,Quintana Roo,2190000,2018[28]
34,Edinburgh Castle,Edinburgh,2111578,2018[30]
36,Alcazar of Seville,Seville,1875744,2018[32]
37,Wawel Castle,Kraków,1587999,2019[18]
38,Arc de Triomphe,Paris,1583260,2017
39,Royal Palace of Madrid,Madrid,1552481,2018[33]
40,Neuschwanstein Castle,Schwangau,1500000,2017[34]
41,Machu Picchu,Cusco,1411276,2017[35]
42,Castillo San Felipe del Morro ,San Juan,1400000,2016[36]
