,Name
68,Achham
46,Arghakhanchi
35,Baglung
69,Baitadi
70,Bajhang
71,Bajura
47,Banke
14,Bara
48,Bardiya
22,Bhaktapur
0,Bhojpur
23,Chitwan
72,Dadeldhura
58,Dailekh
49,Dang Deukhuri
73,Darchula
24,Dhading
1,Dhankuta
15,Dhanusa
25,Dolakha
59,Dolpa
74,Doti
56,East Rukum
36,Gorkha
50,Gulmi
60,Humla
2,Ilam
61,Jajarkot
3,Jhapa
62,Jumla
75,Kailali
63,Kalikot
76,Kanchanpur
51,Kapilvastu
37,Kaski
27,Kathmandu
26,Kavrepalanchok
4,Khotang
28,Lalitpur
38,Lamjung
16,Mahottari
29,Makwanpur
39,Manang
5,Morang
64,Mugu
40,Mustang
41,Myagdi
42,Nawalpur
30,Nuwakot
6,Okhaldhunga
52,Palpa
7,Panchthar
53,Parasi
43,Parbat
17,Parsa
54,Pyuthan
31,Ramechhap
32,Rasuwa
18,Rautahat
55,Rolpa
57,Rupandehi
66,Salyan
8,Sankhuwasabha
19,Saptari
20,Sarlahi
33,Sindhuli
34,Sindhupalchowk
21,Siraha
9,Solukhumbu
10,Sunsari
67,Surkhet
44,Syangja
45,Tanahun
11,Taplejung
12,Tehrathum
13,Udayapur
65,West Rukum
